"Date","MSCI_World","Energies_Renouvelables","Immobilier"
2016-01-01,39.25,371.482574462891,1609.35412597656
2016-01-08,38.1399993896484,344.224212646484,1568.98376464844
2016-01-15,37.1500015258789,330.994415283203,1560.26086425781
2016-01-22,37.7799987792969,334.888488769531,1577.20715332031
2016-01-29,38.2200012207031,341.079040527344,1586.92565917969
2016-02-05,36.0499992370605,310.126312255859,1496.21557617188
2016-02-12,38.2299995422363,332.641876220703,1572.34375
2016-02-19,38.2200012207031,345.821716308594,1650.10095214844
2016-02-26,39.4599990844727,358.552368164062,1669.78955078125
2016-03-04,39.4500007629395,359.151397705078,1664.55603027344
2016-03-11,40.7700004577637,370.583923339844,1721.12951660156
2016-03-18,40.1300010681152,365.69140625,1720.63073730469
2016-03-25,41.0099983215332,375.127044677734,1749.04223632812
2016-03-31,40.2799987792969,366.689880371094,1769.47863769531
2016-04-07,41.5699996948242,380.319061279297,1780.44421386719
2016-04-14,42.1699981689453,379.270721435547,1753.02990722656
2016-04-21,42.0400009155273,370.683776855469,1734.83666992188
2016-04-28,40.8800010681152,351.263519287109,1753.52844238281
2016-05-05,41.0299987792969,342.526763916016,1728.10778808594
2016-05-12,40.4300003051758,327.791137695312,1663.22314453125
2016-05-19,41.810001373291,338.2265625,1694.37902832031
2016-05-26,41.7000007629395,351.008666992188,1725.78405761719
2016-06-02,42.1300010681152,355.053009033203,1760.42907714844
2016-06-09,40.5099983215332,337.877105712891,1779.12255859375
2016-06-16,42.2900009155273,343.918609619141,1740.48913574219
2016-06-23,41.2299995422363,383.263519287109,1947.36413574219
2016-06-30,41.1599998474121,393.549133300781,2007.68188476562
2016-07-07,42.7700004577637,395.346557617188,2005.68737792969
2016-07-14,42.75,403.385345458984,2031.85913085938
2016-07-21,42.6500015258789,401.687713623047,2057.0322265625
2016-07-28,42.7799987792969,408.678009033203,2055.28784179688
2016-08-04,43.5999984741211,411.923461914062,2068.24926757812
2016-08-11,43.5699996948242,416.017700195312,2035.49267578125
2016-08-18,43.439998626709,410.725128173828,2031.00573730469
2016-08-25,43.1300010681152,402.187042236328,1992.61938476562
2016-09-01,43.810001373291,419.962219238281,2020.78564453125
2016-09-08,42.810001373291,400.589294433594,1947.50207519531
2016-09-15,43.7200012207031,417.815155029297,2020.28747558594
2016-09-22,43.4700012207031,419.712554931641,2035.49267578125
2016-09-29,43.1599998474121,421.160552978516,1974.92138671875
2016-10-06,42.439998626709,425.005096435547,2045.96166992188
2016-10-13,42.8499984741211,430.94677734375,2049.94970703125
2016-10-20,42.7799987792969,426.003692626953,1996.85668945312
2016-10-27,42.0200004577637,393.149688720703,1930.30297851562
2016-11-04,42.8400001525879,364.240173339844,1870.97790527344
2016-11-11,43.0200004577637,365.942260742188,1880.34375
2016-11-18,43.2900009155273,371.485382080078,1883.83349609375
2016-11-25,43.1599998474121,363.794982910156,1865.63586425781
2016-12-02,44.2400016784668,370.986022949219,1928.95385742188
2016-12-09,44.4500007629395,364.444152832031,1915.74182128906
2016-12-16,44.3300018310547,367.340576171875,1937.42932128906
2016-12-23,44.25,376.079620361328,1973.07739257812
2016-12-30,44.939998626709,381.622650146484,2000.99670410156
2017-01-06,44.9099998474121,392.858612060547,2010.96813964844
2017-01-13,45,392.109558105469,1991.27478027344
2017-01-20,45.6399993896484,386.566436767578,1959.36645507812
2017-01-27,45.3899993896484,388.514068603516,1962.8564453125
2017-02-03,45.7700004577637,390.311767578125,1971.33178710938
2017-02-10,46.4099998474121,405.642639160156,1988.41564941406
2017-02-17,46.6300010681152,406.741271972656,2001.87768554688
2017-02-24,46.8600006103516,410.586456298828,2033.28979492188
2017-03-03,46.5299987792969,409.08837890625,2005.36828613281
2017-03-10,47.2299995422363,411.984741210938,1991.90600585938
2017-03-17,46.9099998474121,394.506561279297,1988.41564941406
2017-03-24,47.2200012207031,397.003509521484,1985.42456054688
2017-03-30,46.9099998474121,397.003509521484,2011.3515625
2017-04-06,46.7599983215332,397.053375244141,2037.02966308594
2017-04-13,46.8300018310547,384.918548583984,1997.14135742188
2017-04-20,47.7200012207031,380.224517822266,1964.48278808594
