"","IWDA.L.Open","IWDA.L.High","IWDA.L.Low","IWDA.L.Close","IWDA.L.Volume","IWDA.L.Adjusted"
"2016-01-01",41.2900009155273,41.2900009155273,38.7000007629395,39.25,26994758,39.25
"2016-01-08",39.0699996948242,39.2900009155273,37.6599998474121,38.1399993896484,1375444,38.1399993896484
"2016-01-15",38.1300010681152,38.1500015258789,36.2999992370605,37.1500015258789,6738648,37.1500015258789
"2016-01-22",37.6199989318848,38.2299995422363,37.1300010681152,37.7799987792969,1583752,37.7799987792969
"2016-01-29",38.3300018310547,38.7400016784668,37.4500007629395,38.2200012207031,6885309,38.2200012207031
"2016-02-05",38.25,38.4000015258789,36,36.0499992370605,1841959,36.0499992370605
"2016-02-12",36.3699989318848,38.9799995422363,36.3400001525879,38.2299995422363,2667877,38.2299995422363
"2016-02-19",38.2700004577637,38.7099990844727,37.4199981689453,38.2200012207031,1620410,38.2200012207031
"2016-02-26",38.8300018310547,39.5699996948242,38.1500015258789,39.4599990844727,1409292,39.4599990844727
"2016-03-04",39.6300010681152,40.0499992370605,39.4199981689453,39.4500007629395,772357,39.4500007629395
"2016-03-11",39.9000015258789,40.7700004577637,39.9000015258789,40.7700004577637,1163455,40.7700004577637
"2016-03-18",40.75,40.9000015258789,40,40.1300010681152,730972,40.1300010681152
"2016-03-25",40.1300010681152,41.2200012207031,40,41.0099983215332,298518,41.0099983215332
"2016-03-31",40.5299987792969,40.9799995422363,40.1300010681152,40.2799987792969,523203,40.2799987792969
"2016-04-07",40.4700012207031,41.6500015258789,40.4000015258789,41.5699996948242,468421,41.5699996948242
"2016-04-14",41.5499992370605,42.3600006103516,41.1399993896484,42.1699981689453,306383,42.1699981689453
"2016-04-21",42.060001373291,42.0999984741211,41.5999984741211,42.0400009155273,414228,42.0400009155273
"2016-04-28",41.7099990844727,41.7900009155273,40.8499984741211,40.8800010681152,453309,40.8800010681152
"2016-05-05",40.810001373291,41.4599990844727,40.5299987792969,41.0299987792969,267381,41.0299987792969
"2016-05-12",40.8800010681152,41.4300003051758,40.4300003051758,40.4300003051758,524772,40.4300003051758
"2016-05-19",40.8300018310547,41.8400001525879,40.689998626709,41.810001373291,427562,41.810001373291
"2016-05-26",41.7700004577637,42.0400009155273,41.5499992370605,41.7000007629395,863111,41.7000007629395
"2016-06-02",41.9000015258789,42.4900016784668,41.689998626709,42.1300010681152,449684,42.1300010681152
"2016-06-09",42.1399993896484,42.1399993896484,40.2700004577637,40.5099983215332,940361,40.5099983215332
"2016-06-16",41.0900001525879,42.4500007629395,40.7799987792969,42.2900009155273,883461,42.2900009155273
"2016-06-23",42,42.310001373291,39.1500015258789,41.2299995422363,1257642,41.2299995422363
"2016-06-30",41.3600006103516,41.75,40.6500015258789,41.1599998474121,1174907,41.1599998474121
"2016-07-07",41.1199989318848,42.9000015258789,41.1199989318848,42.7700004577637,510202,42.7700004577637
"2016-07-14",42.6800003051758,42.9099998474121,42.439998626709,42.75,493161,42.75
"2016-07-21",42.6800003051758,42.9500007629395,42.5800018310547,42.6500015258789,401174,42.6500015258789
"2016-07-28",42.9500007629395,43.310001373291,42.5200004577637,42.7799987792969,611642,42.7799987792969
"2016-08-04",42.8899993896484,43.5999984741211,42.8499984741211,43.5999984741211,752358,43.5999984741211
"2016-08-11",43.4599990844727,43.7599983215332,43.2400016784668,43.5699996948242,498527,43.5699996948242
"2016-08-18",43.560001373291,43.7299995422363,43.2700004577637,43.439998626709,957489,43.439998626709
"2016-08-25",43.4700012207031,43.6800003051758,43.060001373291,43.1300010681152,778047,43.1300010681152
"2016-09-01",43.2900009155273,44.6800003051758,43.2599983215332,43.810001373291,361415,43.810001373291
"2016-09-08",43.6800003051758,43.6800003051758,42.189998626709,42.810001373291,625152,42.810001373291
"2016-09-15",42.7999992370605,43.8699989318848,42.5299987792969,43.7200012207031,552855,43.7200012207031
"2016-09-22",43.8199996948242,43.8199996948242,42.9099998474121,43.4700012207031,634856,43.4700012207031
"2016-09-29",43.1300010681152,43.5099983215332,42.8400001525879,43.1599998474121,1778415,43.1599998474121
"2016-10-06",43.0900001525879,43.3800010681152,42.2000007629395,42.439998626709,639431,42.439998626709
"2016-10-13",42.5400009155273,43,42.439998626709,42.8499984741211,485748,42.8499984741211
"2016-10-20",42.8199996948242,43.0999984741211,42.6500015258789,42.7799987792969,613472,42.7799987792969
"2016-10-27",42.5200004577637,42.7700004577637,42,42.0200004577637,2601445,42.0200004577637
"2016-11-04",41.8899993896484,43.4099998474121,41.5800018310547,42.8400001525879,1732091,42.8400001525879
"2016-11-11",43.0699996948242,43.1699981689453,42.5999984741211,43.0200004577637,1469155,43.0200004577637
"2016-11-18",43.0299987792969,43.3499984741211,42.7999992370605,43.2900009155273,1309199,43.2900009155273
"2016-11-25",43.2900009155273,43.4799995422363,43.1199989318848,43.1599998474121,942548,43.1599998474121
"2016-12-02",43,44.3300018310547,42.9199981689453,44.2400016784668,2693242,44.2400016784668
"2016-12-09",44.3199996948242,44.7999992370605,44.1699981689453,44.4500007629395,1195923,44.4500007629395
"2016-12-16",44.4000015258789,44.8899993896484,44.310001373291,44.3300018310547,1745674,44.3300018310547
"2016-12-23",44.4500007629395,44.7200012207031,44.2000007629395,44.25,456772,44.25
"2016-12-30",44.3899993896484,44.9900016784668,44.3400001525879,44.939998626709,3000649,44.939998626709
"2017-01-06",44.9700012207031,45.1399993896484,44.8199996948242,44.9099998474121,323109,44.9099998474121
"2017-01-13",45.0900001525879,45.3899993896484,44.9300003051758,45,1147486,45
"2017-01-20",45.0499992370605,46.0299987792969,44.9199981689453,45.6399993896484,1161838,45.6399993896484
"2017-01-27",45.6699981689453,45.7099990844727,45.0699996948242,45.3899993896484,1143286,45.3899993896484
"2017-02-03",45.3199996948242,45.7900009155273,45.310001373291,45.7700004577637,1021005,45.7700004577637
"2017-02-10",45.810001373291,46.4900016784668,45.7700004577637,46.4099998474121,1374091,46.4099998474121
"2017-02-17",46.4199981689453,46.7599983215332,46.25,46.6300010681152,1527490,46.6300010681152
"2017-02-24",46.6300010681152,47.0499992370605,46.3499984741211,46.8600006103516,1328007,46.8600006103516
"2017-03-03",46.6800003051758,46.8199996948242,46.3800010681152,46.5299987792969,710805,46.5299987792969
"2017-03-10",46.7099990844727,47.3699989318848,46.5499992370605,47.2299995422363,1453397,47.2299995422363
"2017-03-17",47.5,47.5,46.439998626709,46.9099998474121,1223418,46.9099998474121
"2017-03-24",46.7400016784668,47.2299995422363,46.4099998474121,47.2200012207031,553003,47.2200012207031
"2017-03-30",46.9799995422363,47.3300018310547,46.5,46.9099998474121,3849110,46.9099998474121
"2017-04-06",46.7900009155273,47.0200004577637,46.5999984741211,46.7599983215332,766875,46.7599983215332
"2017-04-13",46.7599983215332,46.8899993896484,46.560001373291,46.8300018310547,1085380,46.8300018310547
"2017-04-20",46.9500007629395,47.9799995422363,46.7599983215332,47.7200012207031,1817914,47.7200012207031
"2017-04-27",47.7200012207031,48.0499992370605,47.7200012207031,47.9599990844727,1711617,47.9599990844727
"2017-05-04",47.9500007629395,48.3499984741211,47.9199981689453,48.0099983215332,1791372,48.0099983215332
"2017-05-11",48.060001373291,48.6199989318848,47.5699996948242,47.9300003051758,7102597,47.9300003051758
"2017-05-18",47.9799995422363,48.8800010681152,47.9300003051758,48.8400001525879,1596770,48.8400001525879
